TempleID,TempleName,Block_Name
t23,"பிச்சைக்கட்டளை, இணைப்பு பாபநாசசுவாமி திருக்கோயில், பாபநாசம்",unknown
t24,அருள்மிகு முத்துமாலையம்மன திருக்கோயில் முக்கூடல்,unknown
t25,உச்சிகாலபால்கட்டளை திருநெல்வேலி,unknown
t26,"பகழிகூத்தர் திருக்கோயில், கல்லிடைக்குறிச்சி",unknown
t27,"மார்த்தாண்ட விநாயகர் திருக்கோயில், வழுதூர்",unknown
t28,"சொக்கலிங்கசுவாமி திருக்கோயில், அடைச்சாணி",unknown
t29,"வெங்கடாசலபதி திருக்கோயில், ரெங்கசமுத்திரம்",unknown
t30,"சேவுகப் பெருமாள் சாஸ்தா திருக்கோயில், பள்ளக்கால்",unknown
t31,"வடக்குவாச்செல்வியம்மன் திருக்கோயில், பாப்பாக்குடி",unknown
t32,"தியாகராஜசுவாமி திருக்கோயில், இடைகால்",unknown
t33,"திருவாலீஸ்வரர் திருக்கோயில், திருவாலீஸ்வரம்",Ambasamudram
t34,"ஆனைப்பாறை விநாயகர் திருக்கோயில், சாட்டுப்பத்து",unknown
t35,"சொக்கலிங்கசுவாமி திருக்கோயில், பள்ளக்கால்",unknown
t36,"கிருஷ்ணசாமி திருக்கோயில், பிரம்மதேசம்",Ambasamudram
t37,"குலசேகரமுடையார் திருக்கோயில், கல்லிடைக்குறிச்சி",unknown
t38,"ஆதிவராகப் பெருமாள் திருக்கோயில், கல்லிடைக்குறிச்சி",unknown
t39,"லெட்சுமி நாராயணப் பெருமாள் திருக்கோயில், பாப்பாக்குடி",unknown
t40,"திரிபுரசுந்தரியம்மன் திருக்கோயில், புதுப்பட்டி",unknown
t41,"கரியமாணிக்க பெருமாள் திருக்கோயில், இடைகால்",unknown
t42,"அருள்மிகு வைத்தியநாதசுவாமி திருக்கோயில், சேரன்மகாதேவி, அம்பாசமுத்திரம்",unknown
t43,"சாலையம்பெருமாள் திருக்கோயில், முக்கூடல்",unknown
t44,"அருள்மிகு அர்த்தசாமக்கட்டளை (இ) அருள்மிகு நாறும்பூநாதசுவாமி திருக்கோயில், திருப்புடைமருதூர், அம்பாசமுத்திரம்",unknown
t45,"அருள்மிகு அப்பன்வெங்கிடாசலபதி திருக்கோயிலுடன்(ம)கன்னடியன் சத்திரம் சேரன்மகாதேவி,அம்பாசமுத்திரம்",unknown
t46,"அருள்மிகு ராமசாமி திருக்கோயில், சேரன்மகாதேவி, அம்பாசமுத்திரம்",unknown
t47,"அருள்மிகு கஜேந்திரவரதர் திருக்கோயில், அத்தாளநல்லூர், அம்பாசமுத்திரம்",unknown
t48,"அருள்மிகு அம்மநாதசுவாமி திருக்கோயில், சேரன்மகாதேவி, அம்பாசமுத்திரம்",unknown
t49,"அருள்மிகு நாறும்பூநாதசுவாமி திருக்கோயில், திருப்புடைமருதூர், அம்பாசமுத்திரம்",unknown
